SUBSCRIPTION_ID;PACKAGE_ID;TIME_STAMP;ACCOUNT_ID;STATUS;START_DATE;END_DATE
11114331545;p-svmobi-gamebar-c-01;31/05/2020 12:09:27;25246457;INACTIVE;31/05/2020 00:18:16;31/05/2020 12:09:27
11114167676;p-svmobi-gamebar-c-01;30/05/2020 23:50:17;9094948;INACTIVE;30/05/2020 23:45:16;30/05/2020 23:50:17
10347830077;p-svmobi-gamebar-c-01;26/05/2020 11:14:25;15506904;INACTIVE;08/04/2020 11:51:24;26/05/2020 11:14:25
11179311972;p-svmobi-gamebar-c-01;04/06/2020 07:23:55;15306465;INACTIVE;04/06/2020 07:21:41;04/06/2020 07:23:55
11123021497;p-svmobi-gamebar-c-01;31/05/2020 12:58:42;16200384;INACTIVE;31/05/2020 12:47:35;31/05/2020 12:58:42
11178732957;p-svmobi-gamebar-c-01;04/06/2020 06:38:05;15704933;INACTIVE;04/06/2020 06:36:09;04/06/2020 06:38:03
11123717940;p-svmobi-gamebar-c-01;01/06/2020 09:53:44;16426041;INACTIVE;31/05/2020 13:30:14;01/06/2020 09:53:44
11061704251;p-svmobi-gamebar-c-01;27/05/2020 11:19:13;1428374;INACTIVE;27/05/2020 10:29:56;27/05/2020 11:19:13
11060851906;p-svmobi-gamebar-c-01;31/05/2020 15:58:24;15600733;INACTIVE;27/05/2020 09:13:56;31/05/2020 15:58:24
11174618735;p-svmobi-gamebar-c-01;04/06/2020 07:07:00;23560615;INACTIVE;03/06/2020 21:05:01;04/06/2020 07:07:00
11118817051;p-svmobi-gamebar-c-01;01/06/2020 10:36:51;11031931;INACTIVE;31/05/2020 07:45:43;01/06/2020 10:36:51
11118477592;p-svmobi-gamebar-c-01;01/06/2020 09:44:46;7198317;INACTIVE;31/05/2020 07:29:49;01/06/2020 09:44:46
11055048502;p-svmobi-gamebar-c-01;26/05/2020 22:42:19;18302538;INACTIVE;26/05/2020 22:41:06;26/05/2020 22:42:19
11055042781;p-svmobi-gamebar-c-01;26/05/2020 22:40:04;7260549;INACTIVE;26/05/2020 22:35:28;26/05/2020 22:40:04
